Year,Day,Control,Heating,eCO2,Heating_eCO2
2007,1,4.146156667,37.074918,15.841554,1.785505333
2007,2,2.377903333,35.509392,13.90178333,1.065926
2007,3,2.49643,20.681,9.756766,1.491853333
2007,4,2.524464,13.28737333,10.09525267,3.62672
2007,5,2.572631333,10.31877,10.40016933,4.946654667
2007,6,3.86079,9.236888,11.037256,7.402224667
2007,7,6.103005333,8.169712,12.77160267,12.59767133
2007,8,3.781894,8.104527333,12.791924,13.34703067
2007,9,3.913737333,11.42607667,14.93245267,13.51249
2007,10,3.253712,16.40684467,17.44983733,12.21126133
2007,11,8.95024,27.01632467,27.357324,19.27305533
2007,12,11.080866,32.646622,36.86160533,31.03216267
2007,13,10.079128,28.59396133,30.02837333,24.50904733
2007,14,12.372556,28.72910467,27.440462,25.66310867
2007,15,11.45931,40.801412,35.55815933,19.728288
2007,16,12.35197933,37.90934733,35.62621733,30.9471
2007,17,15.133984,41.31879067,40.49577933,41.45226067
2007,18,13.54361,44.31181867,33.563282,23.79019467
2007,19,19.298136,45.32742933,32.49065667,27.23001133
2007,20,18.00164867,46.99469067,41.341158,41.72368467
2007,21,7.763042667,30.669714,28.06014267,25.23441067
2007,22,14.67584667,38.77793733,35.01155533,45.26123733
2007,23,15.66314933,49.83148933,40.23031,35.48608267
2007,24,3.222145333,46.564548,27.90351933,10.79854067
2007,25,26.95455333,55.025534,50.11374867,47.831742
2007,26,18.717632,54.90937133,48.763096,32.76659267
2007,27,9.40152,41.96628867,32.71318667,24.610708
2007,28,21.66119,65.09988933,57.13113333,39.25275467
2007,29,13.82928267,117.476226,65.70705933,13.001894
2007,30,22.08973133,81.44491333,56.11396467,32.653634
2007,31,17.22846533,68.357444,42.45341267,20.261938
2007,32,11.31324133,63.31815133,34.03416,18.21673067
2007,33,17.45538867,66.244054,40.70437733,34.51136733
2007,34,19.45242933,61.87047467,36.75016667,27.06404067
2007,35,18.541156,37.26061067,25.34900067,40.541616
2007,36,15.14506333,37.67972733,24.391824,23.79630533
2007,37,2.904888667,90.80651,23.561184,5.083924667
2007,38,4.090510667,163.5679573,33.550856,5.020794
2007,39,4.383138,113.1783987,26.79060267,3.69847
2007,40,10.47484467,44.55166067,21.72691667,11.85098
2007,41,5.928690667,44.26900933,14.89753267,3.875426
2007,42,8.701854,46.43227867,17.08190333,8.053197333
2007,43,9.779707333,35.224472,16.47396133,12.11150733
2007,44,5.732792667,26.10646267,12.43623667,8.168916667
2007,45,13.81630533,33.43612333,18.39891133,20.58508267
2007,46,19.99945667,50.094042,28.78189,26.173482
2007,47,11.66729533,38.608852,21.446972,13.20086733
2007,48,19.17398267,37.45904867,26.54036867,34.767866
2007,49,32.32979867,43.39403133,40.40793333,62.731376
2007,50,35.08728067,53.84418333,37.37360267,48.414824
2007,51,38.00443333,62.69239067,45.066718,60.21087667
2007,52,36.570004,83.78521267,49.40880133,47.03075467
2007,53,32.49028067,77.437092,49.30208467,37.32466733
2007,54,15.14733667,59.16565,34.34116467,36.885752
2007,55,19.79693933,89.427034,50.47803667,27.83730533
2007,56,44.207724,77.69849067,57.486558,57.67880933
2007,57,31.92577133,79.81294067,51.24371,42.51795733
2007,58,39.81637133,99.62937667,59.00301333,41.776382
2007,59,51.64289467,110.4379447,78.77181267,65.53625867
2007,60,51.15675067,92.14478933,76.32915933,68.07371
2007,61,42.70517,69.83475067,57.049016,77.11411533
2007,62,59.91343133,82.15952067,71.25904067,115.6314567
2007,63,70.4717,103.2656573,88.37261067,116.0020173
2007,64,78.82648067,115.94401,96.06883,119.817578
